L	X	Ezratio	time_min													
PtBu3	OAc	22.71428571	10													
PtBu3	OAc	10.13432836	35													
PtBu3	OAc	1.994791667	150													
PtBu3	OAc	1.360703812	360													
PtBu3	OAc	1.537091988	1080													
PtBu3	OAc	1.306666667	1260													
PtBu3	OTFA	28.02631579	10.00000002													
PtBu3	OTFA	8.452991453	30													
PtBu3	OTFA	7.520661157	60													
PtBu3	OTFA	6.681034483	105													
PtBu3	OTFA	4.680722892	180													
PtBu3	OTFA	3.847682119	270													
PtBu3	OTFA	3.335106383	360													
PtBu3	OTFA	1.824242424	1320													
PtBu3	OTFA	1.814102564	1560													
PtBu3	OTFA	1.790849673	1740													
PtBu3	OMs	14.73684211	19.99999998													
PtBu3	OMs	13.06060606	105													
PtBu3	OMs	12.05970149	240													
PtBu3	OMs	7.073170732	960													
PtBu3	OMs	1.205128205	7200													
																
																
																
																
																
																
