LG,Time_hours,H:X,X:H,Selectivity,B_acyl,B_acyl_pct
OTs,0.166666667,0.538690476,,0.461309524,,
OTs,2.5,0.544293015,,0.455706985,,
OTs,16,0.458296752,,0.541703248,,
OTs,72,0.240279938,,0.759720062,,
OTs,173,0.034931507,,0.965068493,,
OMs,0.333333333,,0.651802304,-0.348197696,,
OMs,1.75,,0.786637931,-0.213362069,,
OMs,4,,0.903619048,-0.096380952,,
OMs,16,0.650720839,,0.349279161,,
OMs,120,0.123032904,,0.876967096,,
OMs,264,,,1,,
OTFA,0.166666667,15.10958904,0.066183137,-0.933816863,0,
OTFA,0.5,9.963963964,0.100361664,-0.899638336,0,
OTFA,1,6.118694362,0.16343356,-0.83656644,0,
OTFA,1.75,4.868852459,0.205387205,-0.794612795,0,
OTFA,3,3.558490566,0.281018028,-0.718981972,0.004122012,0.412201154
OTFA,4.5,2.676416819,0.37363388,-0.62636612,0.008871365,0.88713652
OTFA,6,2.136304063,0.46809816,-0.53190184,0.012381345,1.238134544
OTFA,22,0.933867735,1.070815451,0.070815451,0.059454191,5.945419103
OTFA,26,0.81598513,1.225512528,0.225512528,0.073055028,7.305502846
OTFA,29,0.813333333,1.229508197,0.229508197,0.084615385,8.461538462
OTFA,94,0,,1,0.32,32
OAc,0.166666667,,0,-1,,
OAc,0.583333333,,0,-1,,
OAc,2.5,,0,-1,,
OAc,4,,0,-1,,
OAc,16,,0,-1,,
OAc,21,,0,-1,,
OPO(OPh)2,0.75,24.50684932,0.040804919,-0.959195081,,
OPO(OPh)2,2.5,11.07638889,0.090282132,-0.909717868,,
OPO(OPh)2,4.5,6.334841629,0.157857143,-0.842142857,,
OPO(OPh)2,6,5.244525547,0.190675017,-0.809324983,,
OPO(OPh)2,16,2.606860158,0.383603239,-0.616396761,,
OPO(OPh)2,66,0.921409214,1.085294118,0.078590786,,
OPO(OPh)2,128,0.625,1.6,0.375,,
OPO(OPh)2,246,0.471619048,2.120355412,0.528380952,,
OPO(OPh)2,311,0.339573071,2.944874275,0.660426929,,
